:START_ID,endSFR,:END_ID,:TYPE
AGD_OPE.1,AGD_OPE.1,AGD_OPE.1,HAS_TEXT
FAU_ARP.1,FAU_ARP.1,FAU_ARP.1,HAS_TEXT
FAU_GEN.1,FAU_GEN.1,FAU_GEN.1,HAS_TEXT
FAU_GEN.2,FAU_GEN.2,FAU_GEN.2,HAS_TEXT
FAU_SAA.1,FAU_SAA.1,FAU_SAA.1,HAS_TEXT
FAU_SAA.2,FAU_SAA.2,FAU_SAA.2,HAS_TEXT
FAU_SAA.3,FAU_SAA.3,FAU_SAA.3,HAS_TEXT
FAU_SAA.4,FAU_SAA.4,FAU_SAA.4,HAS_TEXT
FAU_SAR.1,FAU_SAR.1,FAU_SAR.1,HAS_TEXT
FAU_SAR.2,FAU_SAR.2,FAU_SAR.2,HAS_TEXT
FAU_SAR.3,FAU_SAR.3,FAU_SAR.3,HAS_TEXT
FAU_SEL.1,FAU_SEL.1,FAU_SEL.1,HAS_TEXT
FAU_STG.1,FAU_STG.1,FAU_STG.1,HAS_TEXT
FAU_STG.2,FAU_STG.2,FAU_STG.2,HAS_TEXT
FAU_STG.3,FAU_STG.3,FAU_STG.3,HAS_TEXT
FAU_STG.4,FAU_STG.4,FAU_STG.4,HAS_TEXT
FCO_NRO.1,FCO_NRO.1,FCO_NRO.1,HAS_TEXT
FCO_NRO.2,FCO_NRO.2,FCO_NRO.2,HAS_TEXT
FCO_NRR.1,FCO_NRR.1,FCO_NRR.1,HAS_TEXT
FCO_NRR.2,FCO_NRR.2,FCO_NRR.2,HAS_TEXT
FCS_CKM.1,FCS_CKM.1,FCS_CKM.1,HAS_TEXT
FCS_CKM.2,FCS_CKM.2,FCS_CKM.2,HAS_TEXT
FCS_CKM.3,FCS_CKM.3,FCS_CKM.3,HAS_TEXT
FCS_CKM.4,FCS_CKM.4,FCS_CKM.4,HAS_TEXT
FCS_COP.1,FCS_COP.1,FCS_COP.1,HAS_TEXT
FDP_ACC.1,FDP_ACC.1,FDP_ACC.1,HAS_TEXT
FDP_ACC.2,FDP_ACC.2,FDP_ACC.2,HAS_TEXT
FDP_ACF.1,FDP_ACF.1,FDP_ACF.1,HAS_TEXT
FDP_DAU.1,FDP_DAU.1,FDP_DAU.1,HAS_TEXT
FDP_DAU.2,FDP_DAU.2,FDP_DAU.2,HAS_TEXT
FDP_ETC.1,FDP_ETC.1,FDP_ETC.1,HAS_TEXT
FDP_ETC.2,FDP_ETC.2,FDP_ETC.2,HAS_TEXT
FDP_IFC.1,FDP_IFC.1,FDP_IFC.1,HAS_TEXT
FDP_IFC.2,FDP_IFC.2,FDP_IFC.2,HAS_TEXT
FDP_IFF.1,FDP_IFF.1,FDP_IFF.1,HAS_TEXT
FDP_IFF.2,FDP_IFF.2,FDP_IFF.2,HAS_TEXT
FDP_IFF.3,FDP_IFF.3,FDP_IFF.3,HAS_TEXT
FDP_IFF.4,FDP_IFF.4,FDP_IFF.4,HAS_TEXT
FDP_IFF.5,FDP_IFF.5,FDP_IFF.5,HAS_TEXT
FDP_IFF.6,FDP_IFF.6,FDP_IFF.6,HAS_TEXT
FDP_ITC.1,FDP_ITC.1,FDP_ITC.1,HAS_TEXT
FDP_ITC.2,FDP_ITC.2,FDP_ITC.2,HAS_TEXT
FDP_ITT.1,FDP_ITT.1,FDP_ITT.1,HAS_TEXT
FDP_ITT.2,FDP_ITT.2,FDP_ITT.2,HAS_TEXT
